USDT_APY_CY,USDC_APY_CY,DAI_APY_CY,FRAX_APY_CY,LIRA_APY_CY,NGN_APY_CY,NGN_APY_USD_CY,LIRA_APY_USD_CY,DATE
2.42189,0.5746799999999999,0.9296499999999996,3.31405,-20.16,-10.073,4.539631278977448,3.7835037347693374,2023-09-25
2.3885499999999995,1.3016499999999995,0.6530599999999995,3.2665999999999995,-20.860000000000003,-10.107,4.549600079926296,3.7714797627614955,2023-09-26
2.3757,1.7775000000000003,0.7227800000000002,2.8358600000000003,-21.16,-10.076,4.599586607608754,3.8106228751519966,2023-09-27
2.00191,1.4065699999999999,0.5844300000000002,2.63185,-22.16,-10.115,4.579573135291211,3.7602235898453977,2023-09-28
1.9265499999999998,-4.2694399999999995,1.29705,2.6302199999999996,-20.93,-10.114,4.579573844360556,3.7983777948730673,2023-09-29
0.05214333333333343,1.7952733333333333,1.146573333333333,2.6635533333333328,-20.89666666666667,-10.080416666666666,4.612907354961225,3.8317111282064005,2023-09-30
0.7952166666666671,1.918716666666667,1.0821166666666673,2.696526666666667,-20.863333333333333,-10.046833333333332,4.646240865561895,3.8650444615397346,2023-10-01
-3.3899,-3.59157,0.6454600000000008,2.7297400000000005,-20.83,-10.01325,4.679574376162564,3.898377794873068,2023-10-02
1.6082399999999994,2.0173299999999994,1.0308399999999995,3.7630999999999997,-20.130000000000003,-9.893,4.799574553429899,4.036369208625952,2023-10-03
-1.1181399999999995,2.0113200000000004,1.3083700000000005,1.9833200000000004,-20.19,-9.975,4.719573135291212,3.956989602203638,2023-10-04
0.8394499999999998,0.8292499999999996,1.1997699999999996,3.82272,-20.44,-9.986,4.709572426221866,3.9395448792714096,2023-10-05
0.09845000000000059,0.15010000000000012,1.1152300000000004,3.05185,-20.38,-9.927,4.769571717152522,3.99954487927141,2023-10-06
0.5270799999999998,1.91702,1.0786600000000002,3.0218499999999997,-20.49333333333333,-9.951,4.739575971568589,3.966959906031053,2023-10-07
1.9885700000000006,1.9451900000000006,1.0318200000000006,2.7563200000000005,-20.60666666666667,-9.975,4.709580225984655,3.9343749327906963,2023-10-08
0.9179800000000005,0.9167500000000004,1.0507600000000004,2.80574,-20.72,-9.998999999999999,4.679584480400721,3.901789959550339,2023-10-09
2.17918,1.02638,0.96543,4.11333,-20.77,-10.03,4.649583771331376,3.8711695659726533,2023-10-10
1.96259,1.09604,1.2748500000000003,4.05593,-20.9,-10.112,4.569582353192688,3.7896185820284387,2023-10-11
1.92551,0.87554,0.9498500000000001,4.64118,-20.91,-10.230999999999998,4.689412885619386,3.9055860237734823,2023-10-12
1.8218999999999999,1.8186299999999997,0.8920300000000001,1.99701,-21.02,-10.335999999999999,4.619388068192333,3.8343452366181103,2023-10-13
0.6355266666666664,1.8394166666666663,1.2413766666666661,-35.445753333333336,-21.08,-10.671,4.64579828811279,3.858323531114806,2023-10-14
1.8282433333333334,-1.2094466666666666,1.2797433333333337,2.0087633333333335,-21.139999999999997,-11.005999999999998,4.672208508033248,3.882301825611502,2023-10-15
-18.34094,0.38056999999999963,0.6714099999999998,2.50291,-21.2,-11.340999999999998,4.698618727953704,3.9062801201081965,2023-10-16
-3.0638199999999998,0.7456199999999997,0.9114499999999999,2.4679,-21.18,-10.136,4.819388068192334,4.023178152219768,2023-10-17
-0.6478900000000003,2.12549,1.44685,2.5552200000000003,-21.44,-10.054,4.899389486331022,4.092631461399112,2023-10-18
-0.16737999999999964,2.1656300000000006,1.4957000000000003,2.6251700000000002,-21.43,-9.963,4.969404376787254,4.160770280666055,2023-10-19
-1.1680600000000005,2.1506199999999995,0.09967999999999932,2.3182099999999997,-21.23,-10.015,4.919402958648565,4.1185252003871256,2023-10-20
0.6811266666666667,2.1451066666666665,1.314106666666666,4.010706666666667,-21.216666666666665,-10.037666666666667,4.896070098028128,4.096329255279549,2023-10-21
1.9227033333333337,1.5681733333333336,1.2842233333333337,4.031593333333333,-21.20333333333333,-10.060333333333336,4.872737237407691,4.074133310171973,2023-10-22
-2.1309199999999997,0.4070600000000004,-1.53754,-1.80713,-21.19,-10.082999999999998,4.849404376787254,4.051937365064397,2023-10-23
0.58162,-3.1346,-1.17889,2.57357,-21.15,-10.112,4.819405085856598,4.0241087425862965,2023-10-24
0.2742200000000006,2.20784,0.9736700000000003,-2.76792,-20.95,-9.992999999999999,4.9394043767872535,4.14659031689704,2023-10-25
1.8622000000000005,1.3279700000000005,-5.36564,-16.23476,-20.990000000000002,-10.087,4.849401540509876,4.058141300841254,2023-10-26
-5.98917,0.4025400000000001,0.8242500000000001,2.60243,-21.74,-10.374,4.8292122189949325,4.015496935255726,2023-10-27
1.1458233333333334,-1.8674366666666664,0.8452533333333339,2.0669933333333335,-21.68,-10.386,4.842527589238209,4.03027785360366,2023-10-28
0.8159066666666659,-0.003963333333333985,-1.7298533333333337,2.0376266666666663,-21.62,-10.398000000000003,4.8558429594814845,4.0450587719515925,2023-10-29
-1.4867400000000002,1.6844199999999998,0.9698500000000001,2.07248,-21.560000000000002,-10.41,4.869158329724761,4.059839690299526,2023-10-30
0.5594000000000001,2.08566,0.9019299999999997,-2.1481500000000002,-21.490000000000002,-10.425999999999998,4.869146984615251,4.062011067821426,2023-10-31
-1.1859400000000004,-1.9054000000000002,0.7247899999999996,-2.4194500000000003,-21.73,-10.537,4.759146275545906,3.9479785095664686,2023-11-01
-3.8931199999999997,-1.7485299999999997,-1.16376,-19.493009999999998,-22.090000000000003,-10.763,4.659056932808518,3.839913393056555,2023-11-02
